id	Nucleotide_id	Accession	AccessionVersion	BioSample	BioProject	FirstAccession	LastAccession	Organism	Taxonomy	Definition	Division	Journal	Length	MoleculeType	ReferenceTitle	SeqDataName	Source	Strandedness	Topology	CreateDate	UpdateDate	Comment	AnnotationDate	AnnotationMethod	AnnotationPipeline	AnnotationProvider	AnnotationSoftwarerevision	AssemblyDate	AssemblyMethod	AssemblyName	CDS	CDSCoding	CRISPRArrays	ExpectedFinalVersion	FeaturesAnnotated	Genes	GenesCoding	GenesRNA	GenomeCoverage	GenomeRepresentation	ncRNAs	PseudoGenes	PseudoGenesAmbResidues	PseudoGenesFrameshifted	PseudoGenesIncomplete	PseudoGenesInternalStop	PseudoGenesMultipleProblems	rRNAs	rRNAsComplete	rRNAsPartial	SequencingTechnology	tRNAs
1	1389325814	QANK00000000	QANK00000000.1	None	PRJNA448827	QANK01000001	QANK01002868	Yersinia pestis	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis strain I-2422, whole genome shotgun sequencing project	BCT	Submitted (09-APR-2018) Microbiology, Russian Research Anti-Plague Institute Microbe, Universitetskaya 46, Saratov 410005, Russia	2868	DNA	Direct Submission	WGS	Yersinia pestis	double	linear	14-MAY-2018	14-MAY-2018	The Yersinia pestis whole genome shotgun (WGS) project has the project accession QANK00000000. This version of the project (01) has the accession number QANK01000000, and consists of sequences QANK01000001-QANK01002868.; Bacteria and source DNA available from Russian Research Anti-Plague Institute Microbe.; Annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (released 2013). Information about the Pipeline can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/; ; ##Genome-Assembly-Data-START## ; Assembly Date :: 20-MAY-2013 ; Assembly Method :: Newbler v. 2.6 ; Assembly Name :: Y.pestis_I-2422 ; Genome Representation :: Full ; Expected Final Version :: Yes ; Genome Coverage :: 48.0x ; Sequencing Technology :: IonTorrent ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 04/11/2018 22:54:43 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline ; Annotation Method :: Best-placed reference protein set; GeneMarkS+ ; Annotation Software revision :: 4.5 ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes (total) :: 7,023 ; CDS (total) :: 6,921 ; Genes (coding) :: 5,351 ; CDS (coding) :: 5,351 ; Genes (RNA) :: 102 ; rRNAs :: 2, 3, 6 (5S, 16S, 23S) ; complete rRNAs :: 1, 1 (5S, 16S) ; partial rRNAs :: 1, 2, 6 (5S, 16S, 23S) ; tRNAs :: 81 ; ncRNAs :: 10 ; Pseudo Genes (total) :: 1,570 ; Pseudo Genes (ambiguous residues) :: 0 of 1,570 ; Pseudo Genes (frameshifted) :: 1,426 of 1,570 ; Pseudo Genes (incomplete) :: 151 of 1,570 ; Pseudo Genes (internal stop) :: 59 of 1,570 ; Pseudo Genes (multiple problems) :: 57 of 1,570 ; CRISPR Arrays :: 2 ; ##Genome-Annotation-Data-END##	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
2	929179724	LIYY00000000	LIYY00000000.1	None	PRJNA269675	LIYY01000001	LIYY01000228	Yersinia pestis subsp. microtus bv. Caucasica	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-6557, whole genome shotgun sequencing project	BCT	Submitted (28-AUG-2015) Science Department, SRCAMB, Building 1, Obolensk, Moscow Region 142279, Russian Federation	228	DNA	Direct Submission	WGS	Yersinia pestis subsp. microtus bv. Caucasica	double	linear	21-SEP-2015	11-MAY-2018	The Yersinia pestis subsp. microtus bv. Caucasica whole genome shotgun (WGS) project has the project accession LIYY00000000. This version of the project (01) has the accession number LIYY01000000, and consists of sequences LIYY01000001-LIYY01000228.; Annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (released 2013). Information about the Pipeline can be found here: http://www.ncbi.nlm.nih.gov/genome/annotation_prok/; This project was originally submitted as Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-6757. The organism name was changed to Yersinia pestis subsp. microtus bv. Caucasica strain SCPM-O-B-6557 in May 2018.; ; ##Genome-Assembly-Data-START## ; Assembly Method :: Newbler v. 2.9 ; Genome Representation :: Full ; Expected Final Version :: Yes ; Genome Coverage :: 35.0x ; Sequencing Technology :: IonTorrent ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 09/01/2015 12:20:26 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline ; Annotation Method :: Best-placed reference protein set; GeneMarkS+ ; Annotation Software revision :: 2.10 ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes :: 4,253 ; CDS :: 3,956 ; Pseudo Genes :: 223 ; CRISPR Arrays :: 3 ; rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; complete rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; tRNAs :: 57 ; ncRNA :: 13 ; Frameshifted Genes :: 199 ; ##Genome-Annotation-Data-END##	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
3	1386446739	LYCP00000000	LYCP00000000.1	None	PRJNA322131	LYCP01000001	LYCP01000488	Yersinia pestis	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis strain M-1524, whole genome shotgun sequencing project	BCT	Submitted (19-MAY-2016) Microbiology, Russian Research Anti-Plague Institute Microbe, Universitetskaya 46, Saratov 410005, Russia	488	DNA	Direct Submission	WGS	Yersinia pestis	double	linear	02-MAY-2018	02-MAY-2018	The Yersinia pestis whole genome shotgun (WGS) project has the project accession LYCP00000000. This version of the project (01) has the accession number LYCP01000000, and consists of sequences LYCP01000001-LYCP01000488.; Annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (released 2013). Information about the Pipeline can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/; ; ##Genome-Assembly-Data-START## ; Assembly Date :: 11-MAY-2016 ; Assembly Method :: Newbler v. 2.6 ; Genome Representation :: Full ; Expected Final Version :: Yes ; Genome Coverage :: 48.0x ; Sequencing Technology :: IonTorrent ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 05/19/2016 16:45:46 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline ; Annotation Method :: Best-placed reference protein set; GeneMarkS+ ; Annotation Software revision :: 3.2 ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes (total) :: 4,357 ; CDS (total) :: 4,280 ; Genes (coding) :: 3,642 ; CDS (coding) :: 3,642 ; Genes (RNA) :: 77 ; rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; complete rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; tRNAs :: 63 ; ncRNAs :: 10 ; Pseudo Genes (total) :: 638 ; Pseudo Genes (ambiguous residues) :: 0 of 638 ; Pseudo Genes (frameshifted) :: 433 of 638 ; Pseudo Genes (incomplete) :: 217 of 638 ; Pseudo Genes (internal stop) :: 15 of 638 ; Pseudo Genes (multiple problems) :: 27 of 638 ; CRISPR Arrays :: 3 ; ##Genome-Annotation-Data-END##	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
4	1386445748	LYMH00000000	LYMH00000000.1	None	PRJNA322145	LYMH01000001	LYMH01000225	Yersinia pestis	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis strain 517, whole genome shotgun sequencing project	BCT	Submitted (20-MAY-2016) Microbiology, Russian Research Anti-Plague Institute Microbe, Universitetskaya 46, Saratov 410005, Russia	225	DNA	Direct Submission	WGS	Yersinia pestis	double	linear	02-MAY-2018	02-MAY-2018	The Yersinia pestis whole genome shotgun (WGS) project has the project accession LYMH00000000. This version of the project (01) has the accession number LYMH01000000, and consists of sequences LYMH01000001-LYMH01000225.; Annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (released 2013). Information about the Pipeline can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/; ; ##Genome-Assembly-Data-START## ; Assembly Date :: 02-OCT-2014 ; Assembly Method :: Newbler v. 2.6 ; Genome Representation :: Full ; Expected Final Version :: Yes ; Genome Coverage :: 48.0x ; Sequencing Technology :: IonTorrent ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 05/21/2016 22:00:06 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline ; Annotation Method :: Best-placed reference protein set; GeneMarkS+ ; Annotation Software revision :: 3.2 ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes (total) :: 4,329 ; CDS (total) :: 4,261 ; Genes (coding) :: 3,312 ; CDS (coding) :: 3,312 ; Genes (RNA) :: 68 ; rRNAs :: 1, 5 (16S, 23S) ; complete rRNAs :: 1 (16S) ; partial rRNAs :: 5 (23S) ; tRNAs :: 53 ; ncRNAs :: 9 ; Pseudo Genes (total) :: 949 ; Pseudo Genes (ambiguous residues) :: 0 of 949 ; Pseudo Genes (frameshifted) :: 866 of 949 ; Pseudo Genes (incomplete) :: 94 of 949 ; Pseudo Genes (internal stop) :: 10 of 949 ; Pseudo Genes (multiple problems) :: 21 of 949 ; CRISPR Arrays :: 3 ; ##Genome-Annotation-Data-END##	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
5	1386443746	LYMG00000000	LYMG00000000.1	None	PRJNA322137	LYMG01000001	LYMG01000284	Yersinia pestis	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis strain M-1773, whole genome shotgun sequencing project	BCT	Submitted (20-MAY-2016) Microbiology, Russian Research Anti-Plague Institute Microbe, Universitetskaya 46, Saratov 410005, Russia	284	DNA	Direct Submission	WGS	Yersinia pestis	double	linear	02-MAY-2018	02-MAY-2018	The Yersinia pestis whole genome shotgun (WGS) project has the project accession LYMG00000000. This version of the project (01) has the accession number LYMG01000000, and consists of sequences LYMG01000001-LYMG01000284.; Annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (released 2013). Information about the Pipeline can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/; ; ##Genome-Assembly-Data-START## ; Assembly Date :: 19-SEP-2013 ; Assembly Method :: Newbler v. 2.6 ; Genome Representation :: Full ; Expected Final Version :: Yes ; Genome Coverage :: 48.0x ; Sequencing Technology :: IonTorrent ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 05/21/2016 21:58:25 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline ; Annotation Method :: Best-placed reference protein set; GeneMarkS+ ; Annotation Software revision :: 3.2 ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes (total) :: 4,235 ; CDS (total) :: 4,160 ; Genes (coding) :: 3,875 ; CDS (coding) :: 3,875 ; Genes (RNA) :: 75 ; rRNAs :: 2, 1, 2 (5S, 16S, 23S) ; complete rRNAs :: 2, 1 (5S, 16S) ; partial rRNAs :: 2 (23S) ; tRNAs :: 60 ; ncRNAs :: 10 ; Pseudo Genes (total) :: 285 ; Pseudo Genes (ambiguous residues) :: 0 of 285 ; Pseudo Genes (frameshifted) :: 188 of 285 ; Pseudo Genes (incomplete) :: 95 of 285 ; Pseudo Genes (internal stop) :: 10 of 285 ; Pseudo Genes (multiple problems) :: 8 of 285 ; CRISPR Arrays :: 3 ; ##Genome-Annotation-Data-END##	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
6	1386434914	LYCM00000000	LYCM00000000.1	None	PRJNA322117	LYCM01000001	LYCM01000707	Yersinia pestis	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis strain A-1825, whole genome shotgun sequencing project	BCT	Submitted (19-MAY-2016) Microbiology, Russian Research Anti-Plague Institute Microbe, Universitetskaya 46, Saratov 410005, Russia	707	DNA	Direct Submission	WGS	Yersinia pestis	double	linear	02-MAY-2018	02-MAY-2018	The Yersinia pestis whole genome shotgun (WGS) project has the project accession LYCM00000000. This version of the project (01) has the accession number LYCM01000000, and consists of sequences LYCM01000001-LYCM01000707.; Annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (released 2013). Information about the Pipeline can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/; ; ##Genome-Assembly-Data-START## ; Assembly Date :: 04-FEB-2014 ; Assembly Method :: Newbler v. 2.6 ; Genome Representation :: Full ; Expected Final Version :: Yes ; Genome Coverage :: 48.0x ; Sequencing Technology :: IonTorrent ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 05/19/2016 15:53:42 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline ; Annotation Method :: Best-placed reference protein set; GeneMarkS+ ; Annotation Software revision :: 3.2 ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes (total) :: 4,336 ; CDS (total) :: 4,267 ; Genes (coding) :: 1,144 ; CDS (coding) :: 1,144 ; Genes (RNA) :: 69 ; rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; complete rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; tRNAs :: 55 ; ncRNAs :: 10 ; Pseudo Genes (total) :: 3,123 ; Pseudo Genes (ambiguous residues) :: 0 of 3,123 ; Pseudo Genes (frameshifted) :: 2,991 of 3,123 ; Pseudo Genes (incomplete) :: 305 of 3,123 ; Pseudo Genes (internal stop) :: 104 of 3,123 ; Pseudo Genes (multiple problems) :: 266 of 3,123 ; CRISPR Arrays :: 3 ; ##Genome-Annotation-Data-END##	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
7	1386434204	LYCO00000000	LYCO00000000.1	None	PRJNA322122	LYCO01000001	LYCO01000422	Yersinia pestis	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis strain A-1920, whole genome shotgun sequencing project	BCT	Submitted (19-MAY-2016) Microbiology, Russian Research Anti-Plague Institute Microbe, Universitetskaya 46, Saratov 410005, Russia	422	DNA	Direct Submission	WGS	Yersinia pestis	double	linear	02-MAY-2018	02-MAY-2018	The Yersinia pestis whole genome shotgun (WGS) project has the project accession LYCO00000000. This version of the project (01) has the accession number LYCO01000000, and consists of sequences LYCO01000001-LYCO01000422.; Annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (released 2013). Information about the Pipeline can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/; ; ##Genome-Assembly-Data-START## ; Assembly Date :: 31-JAN-2014 ; Assembly Method :: Newbler v. 2.6 ; Genome Representation :: Full ; Expected Final Version :: Yes ; Genome Coverage :: 48.0x ; Sequencing Technology :: IonTorrent ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 05/19/2016 15:37:05 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline ; Annotation Method :: Best-placed reference protein set; GeneMarkS+ ; Annotation Software revision :: 3.2 ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes (total) :: 4,294 ; CDS (total) :: 4,220 ; Genes (coding) :: 1,031 ; CDS (coding) :: 1,031 ; Genes (RNA) :: 74 ; rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; complete rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; tRNAs :: 60 ; ncRNAs :: 10 ; Pseudo Genes (total) :: 3,189 ; Pseudo Genes (ambiguous residues) :: 0 of 3,189 ; Pseudo Genes (frameshifted) :: 3,091 of 3,189 ; Pseudo Genes (incomplete) :: 222 of 3,189 ; Pseudo Genes (internal stop) :: 123 of 3,189 ; Pseudo Genes (multiple problems) :: 238 of 3,189 ; CRISPR Arrays :: 3 ; ##Genome-Annotation-Data-END##	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
8	1386433265	LYCN00000000	LYCN00000000.1	None	PRJNA322120	LYCN01000001	LYCN01000420	Yersinia pestis	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis strain M-1448, whole genome shotgun sequencing project	BCT	Submitted (19-MAY-2016) Microbiology, Russian Research Anti-Plague Institute Microbe, Universitetskaya 46, Saratov 410005, Russia	420	DNA	Direct Submission	WGS	Yersinia pestis	double	linear	02-MAY-2018	02-MAY-2018	The Yersinia pestis whole genome shotgun (WGS) project has the project accession LYCN00000000. This version of the project (01) has the accession number LYCN01000000, and consists of sequences LYCN01000001-LYCN01000420.; Annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (released 2013). Information about the Pipeline can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/; ; ##Genome-Assembly-Data-START## ; Assembly Date :: 27-AUG-2014 ; Assembly Method :: Newbler v. 2.6 ; Genome Representation :: Full ; Expected Final Version :: Yes ; Genome Coverage :: 48.0x ; Sequencing Technology :: IonTorrent ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 05/19/2016 15:30:26 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline ; Annotation Method :: Best-placed reference protein set; GeneMarkS+ ; Annotation Software revision :: 3.2 ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes (total) :: 4,293 ; CDS (total) :: 4,216 ; Genes (coding) :: 3,651 ; CDS (coding) :: 3,651 ; Genes (RNA) :: 77 ; rRNAs :: 2, 3, 1 (5S, 16S, 23S) ; complete rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; partial rRNAs :: 2 (16S) ; tRNAs :: 61 ; ncRNAs :: 10 ; Pseudo Genes (total) :: 565 ; Pseudo Genes (ambiguous residues) :: 0 of 565 ; Pseudo Genes (frameshifted) :: 386 of 565 ; Pseudo Genes (incomplete) :: 196 of 565 ; Pseudo Genes (internal stop) :: 11 of 565 ; Pseudo Genes (multiple problems) :: 28 of 565 ; CRISPR Arrays :: 3 ; ##Genome-Annotation-Data-END##	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
9	1386427559	LYCL00000000	LYCL00000000.1	None	PRJNA322116	LYCL01000001	LYCL01000278	Yersinia pestis	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis strain 2751-55, whole genome shotgun sequencing project	BCT	Submitted (19-MAY-2016) Microbiology, Russian Research Anti-Plague Institute Microbe, Universitetskaya 46, Saratov 410005, Russia	278	DNA	Direct Submission	WGS	Yersinia pestis	double	linear	02-MAY-2018	02-MAY-2018	The Yersinia pestis whole genome shotgun (WGS) project has the project accession LYCL00000000. This version of the project (01) has the accession number LYCL01000000, and consists of sequences LYCL01000001-LYCL01000278.; Annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (released 2013). Information about the Pipeline can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/; ; ##Genome-Assembly-Data-START## ; Assembly Date :: 2013 ; Assembly Method :: Newbler v. 2.6 ; Genome Representation :: Full ; Expected Final Version :: Yes ; Genome Coverage :: 48.0x ; Sequencing Technology :: IonTorrent ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 05/19/2016 15:49:38 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline ; Annotation Method :: Best-placed reference protein set; GeneMarkS+ ; Annotation Software revision :: 3.2 ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes (total) :: 4,259 ; CDS (total) :: 4,183 ; Genes (coding) :: 3,365 ; CDS (coding) :: 3,365 ; Genes (RNA) :: 76 ; rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; complete rRNAs :: 2, 1, 1 (5S, 16S, 23S) ; tRNAs :: 62 ; ncRNAs :: 10 ; Pseudo Genes (total) :: 818 ; Pseudo Genes (ambiguous residues) :: 0 of 818 ; Pseudo Genes (frameshifted) :: 707 of 818 ; Pseudo Genes (incomplete) :: 121 of 818 ; Pseudo Genes (internal stop) :: 8 of 818 ; Pseudo Genes (multiple problems) :: 18 of 818 ; CRISPR Arrays :: 1 ; ##Genome-Annotation-Data-END##	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
10	1386425147	LYMS00000000	LYMS00000000.1	None	PRJNA322260	LYMS01000001	LYMS01000235	Yersinia pestis	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	Yersinia pestis strain 1313, whole genome shotgun sequencing project	BCT	Submitted (23-MAY-2016) Microbiology, Russian Research Anti-Plague Institute Microbe, Universitetskaya 46, Saratov 410005, Russia	235	DNA	Direct Submission	WGS	Yersinia pestis	double	linear	02-MAY-2018	02-MAY-2018	The Yersinia pestis whole genome shotgun (WGS) project has the project accession LYMS00000000. This version of the project (01) has the accession number LYMS01000000, and consists of sequences LYMS01000001-LYMS01000235.; Annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (released 2013). Information about the Pipeline can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/; ; ##Genome-Assembly-Data-START## ; Assembly Date :: 26-SEP-2014 ; Assembly Method :: Newbler v. 2.6 ; Genome Representation :: Full ; Expected Final Version :: Yes ; Genome Coverage :: 48.0x ; Sequencing Technology :: IonTorrent ; ##Genome-Assembly-Data-END##; ; ##Genome-Annotation-Data-START## ; Annotation Provider :: NCBI ; Annotation Date :: 05/23/2016 10:04:50 ; Annotation Pipeline :: NCBI Prokaryotic Genome Annotation Pipeline ; Annotation Method :: Best-placed reference protein set; GeneMarkS+ ; Annotation Software revision :: 3.2 ; Features Annotated :: Gene; CDS; rRNA; tRNA; ncRNA; repeat_region ; Genes (total) :: 4,225 ; CDS (total) :: 4,168 ; Genes (coding) :: 3,341 ; CDS (coding) :: 3,341 ; Genes (RNA) :: 57 ; rRNAs :: 1, 1 (16S, 23S) ; complete rRNAs :: 1, 1 (16S, 23S) ; tRNAs :: 48 ; ncRNAs :: 7 ; Pseudo Genes (total) :: 827 ; Pseudo Genes (ambiguous residues) :: 0 of 827 ; Pseudo Genes (frameshifted) :: 738 of 827 ; Pseudo Genes (incomplete) :: 93 of 827 ; Pseudo Genes (internal stop) :: 15 of 827 ; Pseudo Genes (multiple problems) :: 19 of 827 ; CRISPR Arrays :: 1 ; ##Genome-Annotation-Data-END##	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
