BioSampleAccession	BioSampleStrain	BioSampleBioProjectAccession
SAMN05225380	44	PRJNA325208
SAMN08892357	139	PRJNA449269
SAMN04376919	173	PRJNA307218
SAMN05225376	244	PRJNA325202
SAMN05225432	261	PRJNA325219
SAMN08866640	262	PRJNA448814
SAMN05219221	337	PRJNA325081
SAMN05219204	338	PRJNA325076
SAMN05219223	349	PRJNA325083
SAMN05017795	517	PRJNA322145
SAMN05162559	595	PRJNA322430
SAMN05162581	835	PRJNA322434
SAMN05225431	1240	PRJNA325218
SAMN05150105	1313	PRJNA322260
SAMN05225371	1454	PRJNA325198
SAMN05162580	1530	PRJNA322432
SAMN05162893	1906	PRJNA322444
SAMN05225434	3544	PRJNA325221
SAMN05225437	3551	PRJNA325223
SAMN00715799	6330	None
SAMN00715802	8124	None
SAMN00715800	8291	None
SAMN00715801	11972	None
SAMN04364301	1116-D	PRJNA306803
SAMEA104233049	1343UnTal85	PRJEB19335
SAMN08634710	1393G	PRJNA436901
SAMN02777961	231-708	PRJNA247716
SAMN05017606	2751-55	PRJNA322116
SAMN01853130	53/91	PRJNA184590
SAMN08866745	5M	PRJNA448820
SAMN01853157	64/91	PRJNA184590
SAMN05149969	A-1249	PRJNA322239
SAMN05149973	A-1486	PRJNA322242
SAMN05150065	A-1691	PRJNA322252
SAMN05017696	A-1809	PRJNA322135
SAMN04337145	A-1815	PRJNA305990
SAMN05017610	A-1825	PRJNA322117
SAMN05162891	A-1836	PRJNA322440
SAMN05017652	A-1920	PRJNA322122
SAMEA4354665	AE1175	PRJEB14851
SAMEA4368873	Algeria3	PRJEB15052
SAMN01831179	AS200901156	PRJNA73101
SAMN01831180	AS200901434	PRJNA73111
SAMN01831181	AS200901509	PRJNA73113
SAMN01831182	AS200901539	PRJNA73099
SAMN01831187	AS200902147	PRJNA73109
SAMN01831183	BA200901703	PRJNA73103
SAMN01831184	BA200901799	PRJNA72923
SAMN01831185	BA200901990	PRJNA73105
SAMN01831186	BA200902009	PRJNA73107
SAMEA3937653	Barcelona3031	PRJEB13664
SAMEA5054089	Ber37	PRJEB24499
SAMEA5054090	Ber45	PRJEB24499
SAMN02690730	BGI-05001	PRJNA241466
SAMN02690731	BGI-05006	PRJNA241466
SAMN02690732	BGI-05008	PRJNA241466
SAMN02690733	BGI-090952a	PRJNA241466
SAMN02690734	BGI-090952b	PRJNA241466
SAMN02690735	BGI-090953	PRJNA241466
SAMN02690736	BGI-090954	PRJNA241466
SAMN02690737	BGI-090955	PRJNA241466
SAMN02690738	BGI-090958	PRJNA241466
SAMN02690739	BGI-090959	PRJNA241466
SAMEA3937654	BolgarCity2370	PRJEB13664
SAMEA5054091	BSS31	PRJEB24499
SAMN05225373	C-627	PRJNA325200
SAMN04336076	C741	PRJNA305970
SAMN04376023	C-791	PRJNA307141
SAMN05282282	Cadman	PRJNA326509
SAMEA3937655	Ellwangen549O	PRJEB13664
SAMEA3937656	Ellwangen549O	PRJEB13664
SAMN03816156	EV76D	PRJNA288599
SAMN01902218	G1670	PRJNA38409
SAMN01909378	G1670A	PRJNA188780
SAMN01902220	G3768	PRJNA38305
SAMEA104233050	GEN72	PRJEB19335
SAMEA104233046	Gyvakarai1	PRJEB19335
SAMN04357319	I1996	PRJNA306613
SAMN08866751	I-2422	PRJNA448827
SAMN05150068	I-2998	PRJNA322257
SAMN05219216	I-3086	PRJNA325080
SAMN05225379	I-3223	PRJNA325206
SAMN05225370	I-3244	PRJNA325196
SAMEA715985	IP674	PRJEB2029
SAMN03817042	KIM 10v	PRJNA288602
SAMN00222601	KIM D27	PRJNA41469
SAMN01818177	KIM D27	PRJNA41469
SAMN00004706	KIM D27	PRJNA41469
SAMN04364500	KM-816	PRJNA306824
SAMN05240958	KM874	PRJNA325569
SAMN04331740	KM918	PRJNA305705
SAMEA104233047	KunilaII	PRJEB19335
SAMN05017638	M-1448	PRJNA322120
SAMN04376922	M-1453	PRJNA307223
SAMN04376037	M-1484	PRJNA307152
SAMN05017693	M-1524	PRJNA322131
SAMN04376042	M-1763	PRJNA307156
SAMN05017702	M-1773	PRJNA322137
SAMN04329024	M-1864	PRJNA305573
SAMN05162583	M-1944	PRJNA322436
SAMN04376048	M-519	PRJNA307162
SAMN04376917	M-549	PRJNA307216
SAMN04364306	M-978	PRJNA306809
SAMN05149970	M-986	PRJNA322240
SAMEA104398216	NCTC10030	PRJEB6403
SAMEA104210777	NCTC144	PRJEB6403
SAMEA104398214	NCTC570	PRJEB6403
SAMEA104281628	NCTC5923	PRJEB6403
SAMEA104398215	NCTC5924	PRJEB6403
SAMEA3713711	OBS107	PRJEB12163
SAMEA3713712	OBS110	PRJEB12163
SAMEA3713713	OBS116	PRJEB12163
SAMEA3713714	OBS124	PRJEB12163
SAMEA3713715	OBS137	PRJEB12163
SAMEA5054092	OSL1	PRJEB24499
SAMEA104233048	Post6	PRJEB19335
SAMEA104233051	RK1001	PRJEB19335
SAMEA104488961	RT5	PRJEB24296
SAMEA104488962	RT6	PRJEB24296
SAMN08625967	SCPM-O-DNA-15	PRJNA269675
SAMN08625968	SCPM-O-DNA-16	PRJNA269675
SAMN08625969	SCPM-O-DNA-17	PRJNA269675
SAMEA5054093	SLC1006	PRJEB24499
SAMN04012733	Yp1945	PRJNA293978
SAMN04012736	Yp2126	PRJNA293979
SAMN03955851	Angola	PRJNA291739
SAMEA1705942	CO92	PRJNA34
SAMN03418619	125B	PRJNA257008
SAMN01853157	64-91	PRJNA184590
SAMN01853130	53-91	PRJNA184590
SAMN06161235	195-P	PRJNA357858
SAMN01853159	17-99B	PRJNA184590
SAMN01853158	154-98B	PRJNA184590
SAMN02470616	9Surat	PRJNA201408
SAMN02598688	EVNIIEG	PRJNA234351
SAMN02403942	India195	PRJNA30507
SAMN01991267	Java-D88	PRJNA194125
SAMN01991279	KIM-D27	PRJNA194125
SAMN03817042	KIM10v	PRJNA288602
SAMN02404405	KIM-D27	PRJNA41469
SAMN00222601	KIM-D27	PRJNA41469
SAMN01818177	KIM-D27	PRJNA41469
SAMN00004706	KIM-D27	PRJNA41469
SAMN01991265	KUMA-D11	PRJNA194125
SAMN01991266	Kimberley-D17	PRJNA194125
SAMN01991264	TS-D5	PRJNA194125
SAMN03202985	PestoidesG	PRJNA240082
SAMN03121016	PestoidesF	PRJNA239345
SAMN03955854	PestoidesF	PRJNA291739
SAMN02598373	PestoidesF	PRJNA16700
SAMN03218157	PestoidesB	PRJNA240105
SAMN02403944	PestoidesA	PRJNA30511
SAMN03216612	Nicholisk41	PRJNA240108
SAMN02603222	Harbin35	PRJNA30505
SAMN03145064	ElDorado	PRJNA240085
SAMN01991276	AS2509	PRJNA194125
SAMN01991277	AS200900596	PRJNA194125
SAMN03955853	KIM10	PRJNA291739
SAMN02403941	Nepal516A	PRJNA30503
SAMEA5661394	DIR002	PRJEB29991
SAMEA5661393	WAG001	PRJEB29991
SAMEA5661392	UNT006	PRJEB29991
SAMEA5661391	UNT005	PRJEB29991
SAMEA5661390	UNT004	PRJEB29991
SAMEA5661389	UNT003	PRJEB29991
SAMEA5661388	UNT002	PRJEB29991
SAMEA5661387	PET006	PRJEB29991
SAMEA5661386	PET005	PRJEB29991
SAMEA5661385	PET004	PRJEB29991
SAMEA5661384	VAL001	PRJEB29991
SAMEA5661383	LVC006	PRJEB29991
SAMEA5661382	LVC005	PRJEB29991
SAMEA5661381	LVC005	PRJEB29991
SAMEA5661380	LVC005	PRJEB29991
SAMEA5661379	LVC001	PRJEB29991
SAMEA5661378	LVC001	PRJEB29991
SAMEA5661377	LSD026	PRJEB29991
SAMEA5661376	LSD024	PRJEB29991
SAMEA5661375	LSD023	PRJEB29991
SAMEA5661374	LSD022	PRJEB29991
SAMEA5661373	LSD021	PRJEB29991
SAMEA5661372	LSD020	PRJEB29991
SAMEA5661371	LSD019	PRJEB29991
SAMEA5661370	LSD013	PRJEB29991
SAMEA5661369	LSD007	PRJEB29991
SAMEA5661368	LSD002	PRJEB29991
SAMEA5661367	LSD001	PRJEB29991
SAMEA5661366	EDI005	PRJEB29991
SAMEA5661365	EDI004	PRJEB29991
SAMEA5661364	EDI003	PRJEB29991
SAMEA5661363	EDI001	PRJEB29991
SAMEA5661362	DIT004	PRJEB29991
SAMEA5661361	DIT004	PRJEB29991
SAMEA5661360	DIT003	PRJEB29991
SAMN12138636	I_3269	PRJNA551087
SAMN12138635	I_3196	PRJNA551086
SAMN12138633	I_3193	PRJNA551085
SAMN12131171	I_3068	PRJNA550535
SAMN12011892	C-11	PRJNA548232
SAMN08381346	Yp-H22	PRJNA430987
SAMN08381345	Yp-H21	PRJNA430987
SAMN08381344	Yp-S30	PRJNA430987
SAMN08381343	Yp-S23	PRJNA430987
SAMN08381342	Yp-S31	PRJNA430987
SAMN08381341	Yp-H15	PRJNA430987
SAMN08381340	Yp-H5	PRJNA430987
SAMN08381339	Yp-S9	PRJNA430987
SAMN08381338	Yp-S7	PRJNA430987
SAMN08381337	Yp-S6	PRJNA430987
SAMN08381336	Yp-H19	PRJNA430987
SAMN08381335	Yp-M40	PRJNA430987
SAMN08381334	Yp-S24	PRJNA430987
SAMN08381333	Yp-M32	PRJNA430987
SAMN08381332	Yp-M39	PRJNA430987
SAMN08381331	Yp-M38	PRJNA430987
SAMN08381330	Yp-M18	PRJNA430987
SAMN08381329	Yp-H1	PRJNA430987
SAMN08381328	Yp-M36	PRJNA430987
SAMN08381327	Yp-M35	PRJNA430987
SAMN08381326	Yp-M16	PRJNA430987
SAMN08381325	Yp-S26	PRJNA430987
SAMN08381324	Yp-H28	PRJNA430987
SAMN08381323	Yp-M34	PRJNA430987
SAMN08381322	Yp-M37	PRJNA430987
SAMN08381321	Yp-M33	PRJNA430987
SAMN08381320	Yp-M8	PRJNA430987
SAMN08381319	Yp-M29	PRJNA430987
SAMN08381318	Yp-S17	PRJNA430987
SAMN08381317	Yp-S20	PRJNA430987
SAMN08381316	Yp-M14	PRJNA430987
